Entrée,partie du discours,Terme relié,partie du discours,relation
anthropique,JJ,humain,JJ,QSYN
anthropique,JJ,naturel,JJ,ANTI
apiculteur,NN,agriculteur,NN,HYP
apiculteur,NN,éleveur,NN,QSYN
apiculteur,NN,sylviculteur,NN,QSYN
apiculture,NN,activité,NN,HYP
apiculture,NN,apicole,JJ,DRV
apiculture,NN,élevage,NN,HYP
apiculture,NN,pisciculture,NN,QSYN
appauvrir,VV,appauvrissement,NN,DRV
appauvrir,,appauvrissement,,FRM
appauvrissement,NN,appauvrir,VV,DRV
appauvrissement,,appauvrir,,FRM
appauvrissement,NN,raréfaction,NN,QSYN
aquaculture,NN,agriculture,NN,QSYN
aquaculture,NN,élevage,NN,HYP
aquaculture,NN,pêche,NN,QSYN
aquaculture,NN,pisciculture,NN,HYP
aquatique,JJ,marin,JJ,QSYN
aquatique,JJ,océanique,JJ,QSYN
arbre,NN,bouleau,NN,HYP
arbre,NN,conifère,NN,HYP
arbre,NN,épinette,NN,HYP
arbre,NN,feuillu,NN,HYP
arbre,NN,hêtre,NN,HYP
arbre,NN,plante,NN,QSYN
arbre,NN,végétal,NN,HYP
arrêt,NN,démarrage,NN,ANTI
arrêt,NN,infrastructure,NN,HYP
atmosphère,NN,air,NN,QSYN
atmosphère,NN,atmosphérique,JJ,DRV
atmosphère,NN,terre,NN,ANTI
atmosphérique,JJ,atmosphère,NN,DRV
atmosphérique,JJ,stratosphérique,JJ,QSYN
atténuation,,accélérer,,FRM
atténuation,,aggraver,,FRM
atténuation,NN,amplification,NN,ANTI
atténuation,,amplification,,FRM
atténuation,,amplifier,,FRM
atténuation,NN,atténuer,VV,DRV
atténuation,,atténuer,,FRM
atténuation,,intensifier,,FRM
atténuation,,limiter,,FRM
atténuation,,ralentir,,FRM
atténuation,,renforcer,,FRM
atténuer,,accélérer,,FRM
atténuer,,aggraver,,FRM
atténuer,,amplification,,FRM
atténuer,VV,amplifier,VV,ANTI
atténuer,,amplifier,,FRM
atténuer,VV,atténuation,NN,DRV
atténuer,,atténuation,,FRM
atténuer,VV,intensifier,VV,ANTI
atténuer,,intensifier,,FRM
atténuer,,limiter,,FRM
atténuer,,ralentir,,FRM
atténuer,VV,renforcer,VV,ANTI
atténuer,,renforcer,,FRM
augmentation,,abaisser,,FRM
augmentation,NN,amplification,NN,QSYN
augmentation,NN,augmenter,VV,DRV
augmentation,,augmenter,,FRM
augmentation,NN,baisse,NN,ANTI
augmentation,,baisse,,FRM
augmentation,,baisser,,FRM
augmentation,NN,croissance,NN,QSYN
augmentation,,croissance,,FRM
augmentation,,diminuer,,FRM
augmentation,NN,diminution,NN,ANTI
augmentation,,diminution,,FRM
augmentation,,élévation,,FRM
augmentation,,élever,,FRM
augmentation,NN,hausse,NN,QSYN
augmentation,,réduction,,FRM
augmentation,,réduire,,FRM
augmenter,VV,abaisser,VV,ANTI
augmenter,,abaisser,,FRM
augmenter,VV,accélérer,VV,QSYN
augmenter,VV,amplifier,VV,QSYN
augmenter,VV,augmentation,NN,DRV
augmenter,,augmentation,,FRM
augmenter,,baisse,,FRM
augmenter,,baisser,,FRM
augmenter,,croissance,,FRM
augmenter,VV,diminuer,VV,ANTI
augmenter,,diminuer,,FRM
augmenter,,diminution,,FRM
augmenter,,élévation,,FRM
augmenter,VV,élever,VV,QSYN
augmenter,,élever,,FRM
augmenter,VV,intensifier,VV,QSYN
augmenter,,réduction,,FRM
augmenter,,réduire,,FRM
autobus,NN,bus,NN,QSYN
autobus,NN,métro,NN,QSYN
autobus,NN,train,NN,QSYN
autobus,NN,tramway,NN,QSYN
autobus,NN,véhicule,NN,HYP
automobile,NN,auto,NN,QSYN
automobile,NN,véhicule,NN,HYP
automobile,JJ,voiture,NN,DRV
automobiliste,NN,conducteur,NN,QSYN
automobiliste,NN,utilisateur,NN,HYP
autopartage,NN,covoiturage,NN,QSYN
autoroute,NN,autoroutier,JJ,DRV
autoroute,NN,infrastructure,NN,HYP
autoroute,NN,route,NN,HYP
autoroutier,JJ,autoroute,NN,DRV
azote,NN,gaz,NN,HYP
baisse,,augmentation,,FRM
baisse,,augmenter,,FRM
baisse,NN,baisser,VV,DRV
baisse,,baisser,,FRM
baisse,NN,croissance,NN,ANTI
baisse,,croissance,,FRM
baisse,,diminuer,,FRM
baisse,,diminution,,FRM
baisse,NN,élévation,NN,ANTI
baisse,,élévation,,FRM
baisse,,élever,,FRM
baisser,,augmentation,,FRM
baisser,VV,augmenter,VV,ANTI
baisser,,augmenter,,FRM
baisser,VV,baisse,NN,DRV
baisser,,baisse,,FRM
baisser,,croissance,,FRM
baisser,VV,diminuer,VV,QSYN
baisser,,diminuer,,FRM
baisser,,diminution,,FRM
baisser,,élévation,,FRM
baisser,VV,élever,VV,ANTI
baisser,,élever,,FRM
banlieue,NN,ville,NN,ANTI
banlieue,NN,zone,NN,HYP
barrage,NN,réservoir,NN,QSYN
batterie,NN,accumulateur,NN,QSYN
biocarburant,NN,biodiesel,NN,HYP
biocarburant,NN,bioéthanol,NN,HYP
biocarburant,NN,biogaz,NN,HYP
biocarburant,NN,carburant,NN,HYP
biocarburant,NN,éthanol,NN,HYP
biodégradable,JJ,organique,JJ,QSYN
biodiesel,NN,biocarburant,NN,HYP
biodiesel,NN,bioéthanol,NN,QSYN
biodiesel,NN,carburant,NN,HYP
biodiesel,NN,éthanol,NN,QSYN
biodiversité,NN,diversité,NN,HYP
bioéthanol,NN,alcool,NN,HYP
bioéthanol,NN,biocarburant,NN,HYP
bioéthanol,NN,biodiesel,NN,QSYN
bioéthanol,NN,carburant,NN,HYP
bioéthanol,NN,éthanol,NN,QSYN
biogaz,NN,biocarburant,NN,HYP
biogaz,NN,biodiesel,NN,QSYN
biogaz,NN,bioéthanol,NN,QSYN
biogaz,NN,carburant,NN,HYP
biogaz,NN,éthanol,NN,QSYN
biomasse,NN,bioénergie,NN,HYP
biomasse,NN,combustible,NN,HYP
biosphère,NN,écosystème,NN,QSYN
biotique,JJ,abiotique,JJ,ANTI
biotique,JJ,écologique,JJ,QSYN
bois,NN,matière,NN,HYP
bois,NN,ressource,NN,HYP
boisement,NN,boiser,VV,DRV
boisement,,boiser,,FRM
boisement,NN,déboisement,NN,ANTI
boisement,NN,plantation,NN,QSYN
boisement,,reboisement,,FRM
boisement,,reboiser,,FRM
boiser,VV,boisement,NN,DRV
boiser,,boisement,,FRM
boiser,VV,déboiser,VV,ANTI
boiser,VV,planter,VV,QSYN
boiser,,reboisement,,FRM
boiser,,reboiser,,FRM
borne,NN,station,NN,QSYN
bouleversement,,altération,,FRM
bouleversement,,altérer,,FRM
bouleversement,,changer,,FRM
bouleversement,NN,dérèglement,NN,QSYN
bouleversement,,modifier,,FRM
bouleversement,NN,perturbation,NN,QSYN
bouleversement,,perturbation,,FRM
bouleversement,,perturber,,FRM
brancher,VV,raccorder,VV,QSYN
brûler,VV,combustion,NN,DRV
brûler,VV,incinérer,VV,QSYN
calculer,VV,calcul,NN,DRV
calculer,VV,estimer,VV,QSYN
calculer,VV,évaluer,VV,QSYN
camion,NN,véhicule,NN,HYP
capteur,NN,panneau,NN,QSYN
capture,,capturer,,FRM
capture,NN,piégeage,NN,QSYN
capture,,piégeage,,FRM
capture,,piéger,,FRM
capture,NN,séquestration,NN,QSYN
capture,NN,stockage,NN,QSYN
capturer,,capture,,FRM
capturer,,piégeage,,FRM
capturer,VV,piéger,VV,QSYN
capturer,,piéger,,FRM
capturer,VV,séquestrer,VV,QSYN
capturer,VV,stocker,VV,QSYN
carbone,NN,carbonique,JJ,DRV
carbone,NN,gaz,NN,HYP
carburant,NN,alcool,NN,HYP
carburant,NN,biocarburant,NN,HYP
carburant,NN,biodiesel,NN,HYP
carburant,NN,bioéthanol,NN,HYP
carburant,NN,biogaz,NN,HYP
carburant,NN,combustible,NN,HYP
carburant,NN,diesel,NN,HYP
carburant,NN,essence,NN,HYP
carburant,NN,éthanol,NN,HYP
carburant,NN,hydrogène,NN,HYP
catastrophe,NN,événement,NN,HYP
catastrophe,NN,feu,NN,HYP
catastrophe,NN,incendie,NN,HYP
catastrophe,NN,ouragan,NN,HYP
catastrophe,NN,séisme,NN,HYP
catastrophe,NN,tornade,NN,HYP
chaleur,NN,énergie,NN,QSYN
changement,NN,changer,VV,DRV
changement,,changer,,FRM
changement,NN,dérèglement,NN,QSYN
changement,,évoluer,,FRM
changement,NN,fluctuation,NN,QSYN
changement,,fluctuation,,FRM
changement,NN,modification,NN,QSYN
changement,,modification,,FRM
changement,,modifier,,FRM
changement,NN,perturbation,NN,QSYN
changement,NN,réchauffement,NN,QSYN
changement,NN,refroidissement,NN,QSYN
changement,NN,variation,NN,QSYN
changement,,variation,,FRM
changement,,varier,,FRM
changer,,altération,,FRM
changer,VV,altérer,VV,QSYN
changer,,altérer,,FRM
changer,,bouleversement,,FRM
changer,VV,changement,NN,DRV
changer,,changement,,FRM
changer,VV,évoluer,VV,QSYN
changer,,évoluer,,FRM
changer,,fluctuation,,FRM
changer,,modification,,FRM
changer,VV,modifier,VV,QSYN
changer,,modifier,,FRM
changer,,perturbation,,FRM
changer,VV,perturber,VV,QSYN
changer,,perturber,,FRM
changer,VV,réchauffer,VV,QSYN
changer,VV,refroidir,VV,QSYN
changer,,variation,,FRM
changer,,varier,,FRM
charbon,NN,combustible,NN,HYP
charbon,NN,gaz,NN,QSYN
charbon,NN,hydrocarbure,NN,HYP
charbon,NN,pétrole,NN,QSYN
charge,NN,charger,VV,DRV
charge,,charger,,FRM
charge,NN,décharge,NN,ANTI
charge,NN,plein,NN,QSYN
charge,,plein,,FRM
charge,,recharge,,FRM
charge,,recharger,,FRM
charger,VV,charge,NN,DRV
charger,,charge,,FRM
charger,VV,décharger,VV,ANTI
charger,,plein,,FRM
charger,,recharge,,FRM
charger,,recharger,,FRM
charger,VV,stocker,VV,QSYN
chaud,JJ,froid,JJ,ANTI
chauffage,NN,chauffer,VV,DRV
chauffer,VV,chauffage,NN,DRV
chauffer,VV,rafraîchir,VV,ANTI
cinétique,JJ,électrique,JJ,QSYN
circulation,NN,circuler,VV,DRV
circulation,NN,déplacement,NN,QSYN
circuler,VV,circulation,NN,DRV
circuler,VV,parcourir,VV,QSYN
circuler,VV,rouler,VV,QSYN
climat,NN,climatique,JJ,DRV
climat,NN,microclimat,NN,HYP
climat,,microclimat,,FRM
climatique,JJ,climat,NN,DRV
climatique,JJ,météorologique,JJ,QSYN
climatologie,NN,météorologie,NN,QSYN
collecte,NN,ramassage,NN,QSYN
collecte,,ramassage,,FRM
collecte,,ramasser,,FRM
collectif,JJ,individuel,JJ,ANTI
collectif,JJ,public,JJ,QSYN
combustion,NN,brûler,VV,DRV
communauté,NN,population,NN,QSYN
compenser,VV,balancer,VV,QSYN
compenser,VV,compensation,NN,DRV
compenser,VV,équilibrer,VV,QSYN
compostage,NN,composter,VV,DRV
compostage,,composter,,FRM
compostage,,transformer,,FRM
composter,,compostage,,FRM
composter,,transformer,,FRM
concentration,,accumulation,,FRM
concentration,,accumuler,,FRM
concentration,NN,teneur,NN,QSYN
conditionnement,NN,conditionner,VV,DRV
conditionnement,NN,traitement,NN,QSYN
conditionnement,,traitement,,FRM
conditionnement,,traiter,,FRM
conditionner,VV,conditionnement,NN,DRV
conditionner,VV,traiter,VV,QSYN
conducteur,NN,automobiliste,NN,QSYN
conducteur,NN,passager,NN,ANTI
conduire,VV,conduite,NN,DRV
conduire,,conduite,,FRM
conduite,NN,conduire,VV,DRV
conduite,,conduire,,FRM
conséquence,NN,effet,NN,QSYN
conséquence,NN,impact,NN,QSYN
conséquence,NN,incidence,NN,QSYN
conséquence,NN,répercussion,NN,QSYN
conservation,NN,conserver,VV,DRV
conservation,,conserver,,FRM
conservation,NN,préservation,NN,QSYN
conservation,,préservation,,FRM
conservation,,préserver,,FRM
conservation,NN,protection,NN,QSYN
conserver,VV,conservation,NN,DRV
conserver,,conservation,,FRM
conserver,,préservation,,FRM
conserver,VV,préserver,VV,QSYN
conserver,,préserver,,FRM
conserver,VV,protéger,VV,QSYN
consommateur,NN,producteur,NN,ANTI
consommation,NN,alimentation,NN,ANTI
consommation,NN,consommer,VV,DRV
consommation,,consommer,,FRM
consommation,,exploitation,,FRM
consommation,,exploiter,,FRM
consommation,NN,surconsommation,NN,HYP
consommation,,surexploitation,,FRM
consommation,,surexploiter,,FRM
consommer,VV,alimenter,VV,ANTI
consommer,VV,consommation,NN,DRV
consommer,,consommation,,FRM
consommer,,exploitation,,FRM
consommer,,exploiter,,FRM
consommer,VV,gaspiller,VV,HYP
consommer,VV,produire,VV,ANTI
consommer,,surexploitation,,FRM
consommer,,surexploiter,,FRM
consommer,VV,utiliser,VV,QSYN
constructeur,NN,fabricant,NN,QSYN
contamination,NN,acidification,NN,QSYN
contamination,,acidification,,FRM
contamination,NN,contaminer,VV,DRV
contamination,,contaminer,,FRM
contamination,,eutrophisation,,FRM
contamination,,polluer,,FRM
contamination,NN,pollution,NN,QSYN
contaminer,,acidification,,FRM
contaminer,VV,contamination,NN,DRV
contaminer,,contamination,,FRM
contaminer,,eutrophisation,,FRM
contaminer,VV,polluer,VV,QSYN
contaminer,,polluer,,FRM
continent,NN,océan,NN,ANTI
continent,NN,zone,NN,HYP
conversion,NN,convertir,VV,DRV
conversion,,convertir,,FRM
conversion,NN,transformation,NN,QSYN
conversion,,transformation,,FRM
conversion,,transformer,,FRM
convertir,VV,conversion,NN,DRV
convertir,,conversion,,FRM
convertir,,transformation,,FRM
convertir,VV,transformer,VV,QSYN
convertir,,transformer,,FRM
côte,NN,côtier,JJ,DRV
côte,NN,littoral,NN,QSYN
couvert,NN,couverture,NN,QSYN
couvert,NN,manteau,NN,QSYN
couverture,NN,couvert,NN,QSYN
couverture,NN,manteau,NN,QSYN
covoiturage,NN,autopartage,NN,QSYN
croissance,NN,accroissement,NN,QSYN
croissance,NN,augmentation,NN,QSYN
croissance,,augmentation,,FRM
croissance,,augmenter,,FRM
croissance,NN,baisse,NN,ANTI
croissance,,baisse,,FRM
croissance,,baisser,,FRM
croissance,NN,croître,VV,DRV
croissance,NN,décroissance,NN,ANTI
croissance,NN,développement,NN,QSYN
croissance,,développement,,FRM
croissance,,diminuer,,FRM
croissance,NN,diminution,NN,ANTI
croissance,,diminution,,FRM
croissance,,élévation,,FRM
croissance,,élever,,FRM
croissance,NN,hausse,NN,QSYN
croûte,NN,manteau,NN,QSYN
cultivateur,NN,agriculteur,NN,HYP
cultiver,,agriculture,,FRM
cultiver,VV,culture,NN,DRV
cultiver,,culture,,FRM
cultiver,VV,élever,VV,QSYN
cultiver,VV,planter,VV,QSYN
culture,NN,activité,NN,HYP
culture,NN,agriculture,NN,HYP
culture,,agriculture,,FRM
culture,NN,cultiver,VV,DRV
culture,,cultiver,,FRM
culture,NN,élevage,NN,QSYN
culture,NN,plantation,NN,QSYN
culture,NN,rizière,NN,HYP
cyclone,NN,événement,NN,HYP
cyclone,,orage,,FRM
cyclone,NN,ouragan,NN,QSYN
cyclone,,ouragan,,FRM
cyclone,NN,tempête,NN,HYP
cyclone,,tempête,,FRM
cyclone,NN,tornade,NN,QSYN
cyclone,,tornade,,FRM
cyclone,,tsunami,,FRM
déboisement,NN,boisement,NN,ANTI
déboisement,NN,déboiser,VV,DRV
déboisement,,déboiser,,FRM
déboisement,NN,déforestation,NN,QSYN
déboisement,NN,défrichement,NN,QSYN
déboisement,,défrichement,,FRM
déboisement,,défricher,,FRM
déboisement,NN,dégradation,NN,QSYN
déboisement,NN,reboisement,NN,ANTI
déboiser,VV,boiser,VV,ANTI
déboiser,VV,déboisement,NN,DRV
déboiser,,déboisement,,FRM
déboiser,,défrichement,,FRM
déboiser,VV,défricher,VV,QSYN
déboiser,,défricher,,FRM
déboiser,VV,reboiser,VV,ANTI
décharge,NN,charge,NN,ANTI
décharge,NN,décharger,VV,DRV
décharge,,décharger,,FRM
décharge,NN,recharge,NN,ANTI
décharger,VV,charger,VV,ANTI
décharger,,décharge,,FRM
décharger,VV,recharger,VV,ANTI
déchets,NN,encombrant,NN,QSYN
décomposer,VV,décomposition,NN,DRV
décomposer,VV,dégrader,VV,QSYN
décomposer,,dégrader,,FRM
décomposition,NN,décomposer,VV,DRV
défrichement,NN,déboisement,NN,QSYN
défrichement,,déboisement,,FRM
défrichement,,déboiser,,FRM
défrichement,NN,défrichage,NN,QSYN
défrichement,,défricher,,FRM
défricher,,déboisement,,FRM
défricher,VV,déboiser,VV,QSYN
défricher,,déboiser,,FRM
défricher,VV,défrichement,NN,DRV
défricher,,défrichement,,FRM
dégel,,fondre,,FRM
dégel,NN,fonte,NN,QSYN
dégel,,fonte,,FRM
dégel,NN,gel,NN,ANTI
dégel,,gel,,FRM
dégel,,geler,,FRM
dégel,NN,recul,NN,QSYN
dégradation,NN,catastrophe,NN,QSYN
dégradation,NN,dégrader,VV,DRV
dégradation,,dégrader,,FRM
dégradation,NN,désertification,NN,QSYN
dégradation,NN,détérioration,NN,QSYN
dégradation,,détérioration,,FRM
dégradation,,détériorer,,FRM
dégradation,,endommager,,FRM
dégradation,NN,érosion,NN,QSYN
dégradation,NN,sécheresse,NN,QSYN
dégrader,VV,décomposer,VV,QSYN
dégrader,,décomposer,,FRM
dégrader,VV,dégradation,NN,DRV
dégrader,,dégradation,,FRM
dégrader,,détérioration,,FRM
dégrader,VV,détériorer,VV,QSYN
dégrader,,détériorer,,FRM
dégrader,,endommager,,FRM
delta,NN,écosystème,NN,HYP
démarrage,NN,arrêt,NN,ANTI
démarrage,NN,démarrer,VV,DRV
démarrer,VV,arrêter,VV,ANTI
démarrer,VV,démarrage,NN,DRV
déplacement,NN,déplacer,VV,DRV
déplacement,,déplacer,,FRM
déplacement,NN,parcours,NN,QSYN
déplacement,NN,trajet,NN,QSYN
déplacement,,trajet,,FRM
déplacement,NN,transport,NN,ANTI
déplacement,NN,voyage,NN,QSYN
déplacement,,voyage,,FRM
déplacer,VV,déplacement,NN,DRV
déplacer,,déplacement,,FRM
déplacer,VV,migrer,VV,QSYN
déplacer,,trajet,,FRM
déplacer,VV,transporter,VV,ANTI
déplacer,,voyage,,FRM
déplacer,VV,voyager,VV,QSYN
dérèglement,NN,altération,NN,QSYN
dérèglement,NN,changement,NN,QSYN
dérèglement,NN,fluctuation,NN,QSYN
dérèglement,NN,perturbation,NN,QSYN
désertification,NN,catastrophe,NN,QSYN
désertification,NN,dégradation,NN,QSYN
désertification,NN,érosion,NN,QSYN
désertification,NN,sécheresse,NN,QSYN
détérioration,NN,dégradation,NN,QSYN
détérioration,,dégradation,,FRM
détérioration,,dégrader,,FRM
détérioration,NN,détériorer,VV,DRV
détérioration,,détériorer,,FRM
détérioration,,endommager,,FRM
détériorer,,dégradation,,FRM
détériorer,VV,dégrader,VV,QSYN
détériorer,,dégrader,,FRM
détériorer,VV,détérioration,NN,DRV
détériorer,,détérioration,,FRM
détériorer,VV,endommager,VV,QSYN
détériorer,,endommager,,FRM
développé,JJ,riche,JJ,QSYN
développement,NN,croissance,NN,QSYN
développement,,croissance,,FRM
développement,NN,industrialisation,NN,QSYN
développement,NN,urbanisation,NN,QSYN
développer,,industrialisation,,FRM
développer,,urbanisation,,FRM
déversement,NN,catastrophe,NN,HYP
déversement,NN,rejet,NN,QSYN
déverser,VV,couler,VV,QSYN
déverser,VV,déversement,NN,DRV
déverser,VV,jeter,VV,QSYN
diesel,NN,carburant,NN,HYP
diesel,NN,essence,NN,QSYN
diesel,NN,gazole,NN,QSYN
diminuer,,abaisser,,FRM
diminuer,,augmentation,,FRM
diminuer,VV,augmenter,VV,ANTI
diminuer,,augmenter,,FRM
diminuer,,baisse,,FRM
diminuer,VV,baisser,VV,QSYN
diminuer,,baisser,,FRM
diminuer,,croissance,,FRM
diminuer,VV,diminution,NN,DRV
diminuer,,diminution,,FRM
diminuer,,élévation,,FRM
diminuer,VV,élever,VV,ANTI
diminuer,,élever,,FRM
diminuer,VV,limiter,VV,QSYN
diminuer,,réduction,,FRM
diminuer,VV,réduire,VV,QSYN
diminuer,,réduire,,FRM
diminution,NN,augmentation,NN,ANTI
diminution,,augmentation,,FRM
diminution,,augmenter,,FRM
diminution,NN,baisse,NN,QSYN
diminution,,baisse,,FRM
diminution,,baisser,,FRM
diminution,NN,croissance,NN,ANTI
diminution,,croissance,,FRM
diminution,NN,diminuer,VV,DRV
diminution,,diminuer,,FRM
diminution,,élévation,,FRM
diminution,,élever,,FRM
diminution,NN,hausse,NN,ANTI
diminution,NN,raréfaction,NN,QSYN
disparaître,,disparition,,FRM
disparaître,,épuisement,,FRM
disparaître,VV,éteindre,VV,QSYN
disparaître,,éteindre,,FRM
disparaître,,extinction,,FRM
disparaître,,pénurie,,FRM
disparaître,,perte,,FRM
disparaître,,raréfaction,,FRM
disparaître,,raréfier,,FRM
disparition,NN,déclin,NN,QSYN
disparition,,disparaître,,FRM
disparition,,épuisement,,FRM
disparition,,éteindre,,FRM
disparition,NN,extinction,NN,QSYN
disparition,,extinction,,FRM
disparition,,pénurie,,FRM
disparition,NN,perte,NN,QSYN
disparition,,perte,,FRM
disparition,,raréfaction,,FRM
disparition,,raréfier,,FRM
distance,NN,itinéraire,NN,QSYN
distance,NN,parcours,NN,QSYN
distance,NN,trajet,NN,QSYN
diversité,NN,biocénose,NN,QSYN
diversité,NN,biodiversité,NN,HYP
durable,JJ,rationnel,JJ,QSYN
durable,,rationnel,,FRM
eau,NN,air,NN,ANTI
eau,NN,terre,NN,ANTI
écologie,NN,climatologie,NN,QSYN
écologie,NN,écologique,JJ,DRV
écologie,NN,météorologie,NN,QSYN
écologique,JJ,biotique,JJ,QSYN
écologique,JJ,écolo,JJ,QSYN
écologique,JJ,environnemental,JJ,QSYN
écologique,,environnemental,,FRM
écologique,JJ,polluant,JJ,ANTI
écologique,JJ,propre,JJ,QSYN
écologique,,propre,,FRM
écologique,JJ,vert,JJ,QSYN
écologique,,vert,,FRM
écologiste,JJ,environnementaliste,JJ,QSYN
écosystème,NN,biome,NN,QSYN
écosystème,NN,biosphère,NN,QSYN
écosystème,NN,delta,NN,HYP
écosystème,NN,environnement,NN,QSYN
écosystème,NN,forêt,NN,HYP
